Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827ER_EGFR	P42338	PIK3CB	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1332|18536|25659|1797	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	Q96NH3	TBC1D32	29287|18714|0|0	48001	12000.25	4	19915|43848|47183|43658|46969|29390|29767|22268|1215|42271|55486|43985|53046|7258|57868|18778|12023|19957|26008|1156	0.50	1.00	0.50	1.00	0.50	-inf	7.45	0.35	
HCC827ER_EGFR	P33992	MCM5	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|47214|0|21791|51433|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P11021	HSPA5	47792|58423|0|0	40679	10169.75	4	64268|64917|62338|8884|26125|52542|4377|0|0|0|0|0|0|0|0|0|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	9.55	0.26	
HCC827ER_EGFR	P13645	KRT10	44093|35884|0|0	14441	3610.25	4	0|0|32632|5583|2667|0|0|0|0|0|0|0|0|0|51793|42686|28966|32003|34551|0	0.50	1.00	0.50	1.00	0.50	-inf	2.11	0.32	
HCC827ER_EGFR	O95831	AIFM1	0|0|0|0	0	0.00	4	0|102|0|115|262|360|38357|55555|0|0|0|0|0|0|0|0|0|0|249|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	O00567	NOP56	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|31500	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P57088	TMEM33	280|300|0|0	580	145.00	4	108|145|130|140|0|0|0|0|0|0|0|0|0|0|148|0|0|0|0|0	0.50	0.99	0.50	0.99	0.50	-146.55	4.32	0.37	
HCC827ER_EGFR	O95782	AP2A1	0|0|0|0	0	0.00	4	21202|21958|25198|33075|0|0|0|0|0|0|0|0|55267|25601|26401|13620|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	O94973	AP2A2	294|199|0|0	493	123.25	4	181|204|219|241|0|0|0|0|0|0|0|0|368|22761|35482|33244|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.09	0.55	
HCC827ER_EGFR	O15482	TEX28	5769|55469|0|0	61238	15309.50	4	48794|49230|39881|19396|54392|2459|32782|32683|38042|33468|0|49069|60907|3773|40048|34822|39949|48722|46681|33735	0.25	1.00	0.25	1.00	0.25	-inf	5.73	0.49	
HCC827ER_EGFR	P05109	S100A8	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|42710|39332|0|0|0|0|0|0|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	O60716	CTNND1	36203|29745|0|0	412	103.00	4	19982|22662|0|0|0|0|0|25951|0|0|0|0|37025|0|31175|48534|32136|0|6477|19361	0.50	1.00	0.50	1.00	0.50	-inf	0.04	0.36	
HCC827ER_EGFR	P07437	TUBB	62375|9670|0|0	6509	1627.25	4	58490|2474|52644|2017|0|0|0|0|0|0|0|0|0|0|445|24192|0|0|283|0	0.50	1.00	0.50	1.00	0.50	-inf	3.44	0.28	
HCC827ER_EGFR	P42704	LRPPRC	52938|313|0|0	53251	13312.75	4	42339|52080|55012|61793|0|0|0|0|0|0|0|0|0|0|250|258|0|0|0|0	0.25	1.00	0.25	1.00	0.25	-inf	17.60	0.46	
HCC827ER_EGFR	P38646	HSPA9	37187|31205|0|0	2856	714.00	4	44955|55159|39131|43071|190|209|0|0|0|0|0|0|238|232|54829|50480|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	0.54	0.30	
HCC827ER_EGFR	P35908	KRT2	32736|6325|0|0	39061	9765.25	4	0|0|10245|6122|56683|14185|0|0|0|0|0|0|0|0|2103|0|18364|7002|0|0	0.25	1.00	0.25	1.00	0.25	-inf	3.97	0.51	
HCC827ER_EGFR	Q01546	KRT76	36605|47174|0|0	18243	4560.75	4	0|0|30871|28344|62610|30094|11106|25139|0|0|45097|31556|0|0|52962|46359|9990|20364|0|0	0.50	1.00	0.50	1.00	0.50	-276.84	71.49	0.17	
HCC827ER_EGFR	P19013	KRT4	0|0|0|0	0	0.00	4	0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|56658|55890|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.00	0.55	
HCC827ER_EGFR	P11142	HSPA8	22941|56933|0|0	14338	3584.50	4	37738|40840|1927|57623|288|34197|518|457|0|0|0|0|0|0|265|269|0|0|0|0	0.50	1.00	0.50	1.00	0.50	-inf	1.67	0.35	
