Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	boosted_by
HCC827_EGFR	Q3ZCM7	TUBB8	41475|45686|189|16384	38198	9549.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	272.76	95495.00	0.00	
HCC827_EGFR	Q9H4B7	TUBB1	30988|40327|35851|36399	12493	3123.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	31232.50	0.00	
HCC827_EGFR	Q9NP72	RAB18	30758|28695|0|0	59453	14863.25	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	148632.50	0.09	
HCC827_EGFR	Q86SQ7	SDCCAG8	25671|28381|22667|31338	42521	10630.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	106302.50	0.00	
HCC827_EGFR	Q2M243	CCDC27	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q96K76	USP47	10587|13632|0|0	24219	6054.75	4	54225|52209|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.59	0.46	
HCC827_EGFR	Q15165	PON2	6395|9227|44172|26518	20776	5194.00	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	51940.00	0.00	
HCC827_EGFR	Q9BYK8	HELZ2	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q16543	CDC37	9843|53465|0|0	63308	15827.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	158270.00	0.09	
HCC827_EGFR	Q8WXH0	SYNE2	9930|12625|0|0	22555	5638.75	4	64108|49002|0|0	0.00	0.00	0.00	0.00	0.00	-inf	0.47	0.46	
HCC827_EGFR	Q9UJM3	ERRFI1	41822|46699|60984|11222	29655	7413.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	74137.50	0.00	
HCC827_EGFR	O00461	GOLIM4	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	Q05655	PRKCD	0|0|0|0	0	0.00	4	0|0|0|0	0.00	0.00	0.00	0.00	0.00	-0.32	0.00	0.46	
HCC827_EGFR	A1L190	SYCE3	26821|11921|10957|7199	56898	14224.50	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	142245.00	0.00	
HCC827_EGFR	P16144	ITGB4	27561|26195|0|0	53756	13439.00	4	0|0|0|0	0.50	1.00	0.50	1.00	0.50	-0.32	134390.00	0.09	
HCC827_EGFR	O95816	BAG2	55899|22768|58361|56461	62417	15604.25	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	156042.50	0.00	
HCC827_EGFR	Q99623	PHB2	25548|29350|29184|38069	56615	14153.75	4	0|0|0|0	1.00	1.00	1.00	1.00	1.00	inf	141537.50	0.00	
